t0	tf	lft
24	130	107
247	247	1
44	67	24
109	218	110
103	105	3
23	256	234
24	248	225
46	248	203
87	248	162
164	211	48
37	234	198
46	47	2
61	246	186
228	228	1
87	233	147
55	231	177
129	224	96
132	132	1
62	228	167
22	52	31
28	256	229
57	233	177
53	228	176
55	224	170
35	35	1
179	179	1
218	236	19
26	235	210
24	248	225
21	126	106
87	187	101
216	263	48
103	223	121
18	282	265
24	193	170
46	47	2
265	267	3
84	95	12
16	202	187
191	294	104
62	269	208
22	53	32
88	283	196
282	283	2
193	257	65
87	273	187
97	163	67
282	285	4
132	224	93
23	224	202
11	193	183
23	185	163
44	94	51
194	194	1
44	180	137
296	298	3
56	177	122
88	91	4
174	295	122
40	134	95
22	23	2
66	274	209
39	170	132
22	171	150
227	228	2
14	237	224
249	301	53
17	34	18
22	27	6
20	86	67
17	172	156
75	76	2
103	292	190
47	61	15
58	194	137
163	163	1
34	92	59
142	259	118
156	163	8
17	90	74
51	75	25
21	53	33
34	34	1
18	68	51
228	282	55
235	290	56
80	209	130
99	158	60
1	227	227
223	224	2
226	295	70
179	181	3
17	119	103
123	216	94
21	194	174
191	302	112
239	288	50
190	285	96
55	72	18
217	237	21
33	235	203
23	37	15
150	235	86
17	30	14
145	146	2
15	17	3
134	146	13
47	286	240
31	257	227
36	255	220
34	146	113
187	246	60
208	216	9
40	132	93
20	20	1
31	260	230
191	232	42
186	228	43
211	228	18
135	142	8
84	84	1
51	52	2
266	266	1
160	176	17
145	181	37
161	281	121
266	266	1
74	74	1
165	170	6
74	281	208
265	272	8
179	185	7
94	228	135
74	236	163
160	176	17
227	227	1
112	167	56
218	225	8
142	142	1
234	234	1
212	243	32
163	173	11
183	288	106
78	282	205
153	215	63
238	239	2
160	161	2
40	273	234
199	214	16
82	242	161
260	261	2
35	271	237
119	275	157
64	272	209
104	108	5
134	302	169
97	97	1
66	243	178
37	73	37
40	85	46
183	183	1
153	303	151
142	242	101
214	287	74
65	144	80
214	242	29
62	271	210
184	192	9
119	216	98
166	168	3
0	86	87
172	275	104
261	263	3
160	160	1
58	187	130
262	301	40
39	99	61
54	243	190
200	275	76
160	176	17
117	118	2
50	190	141
144	181	38
262	283	22
74	169	96
111	278	168
25	55	31
57	104	48
26	229	204
11	260	250
91	98	8
42	293	252
32	257	226
49	266	218
133	210	78
104	104	1
32	282	251
58	96	39
250	259	10
60	284	225
79	145	67
300	300	1
25	46	22
93	228	136
134	260	127
101	273	173
188	260	73
34	46	13
134	260	127
51	260	210
103	104	2
35	281	247
25	283	259
38	133	96
60	60	1
19	19	1
29	160	132
146	149	4
79	228	150
78	155	78
150	249	100
100	101	2
79	300	222
27	28	2
227	227	1
250	253	4
264	272	9
169	202	34
152	219	68
281	281	1
140	230	91
84	219	136
17	231	215
55	93	39
52	67	16
89	179	91
56	102	47
179	253	75
13	245	233
173	268	96
68	182	115
253	271	19
237	237	1
17	26	10
173	186	14
24	26	3
178	178	1
189	218	30
24	106	83
56	56	1
57	246	190
86	95	10
182	271	90
65	93	29
236	253	18
87	89	3
24	24	1
34	105	72
250	253	4
185	218	34
16	277	262
65	101	37
199	274	76
177	218	42
59	101	43
179	179	1
88	102	15
71	275	205
213	213	1
42	105	64
88	88	1
180	187	8
247	275	29
270	272	3
65	78	14
272	276	5
45	106	62
13	244	232
253	253	1
59	75	17
10	249	240
84	108	25
45	276	232
64	89	26
64	254	191
101	272	172
173	246	74
54	251	198
263	264	2
182	232	51
52	253	202
182	226	45
182	212	31
182	226	45
182	257	76
76	78	3
101	101	1
208	208	1
208	223	16
203	226	24
170	187	18
17	270	254
161	189	29
157	290	134
40	171	132
135	241	107
141	164	24
199	199	1
212	212	1
88	241	154
111	210	100
107	220	114
195	272	78
169	270	102
277	279	3
17	274	258
245	273	29
289	290	2
224	224	1
111	126	16
51	160	110
166	179	14
181	222	42
10	195	186
154	273	120
8	9	2
41	245	205
140	303	164
165	168	4
245	245	1
46	270	225
154	273	120
262	263	2
154	263	110
259	259	1
150	154	5
154	273	120
26	241	216
169	189	21
154	259	106
143	146	4
156	249	94
41	165	125
113	169	57
29	33	5
32	253	222
28	249	222
30	255	226
7	7	1
166	228	63
28	95	68
145	178	34
22	44	23
136	142	7
45	47	3
88	184	97
83	183	101
133	291	159
28	142	115
243	275	33
234	259	26
105	222	118
21	146	126
185	286	102
130	160	31
228	228	1
194	194	1
277	277	1
271	283	13
240	240	1
228	228	1
131	131	1
59	59	1
286	287	2
239	265	27
84	86	3
173	185	13
62	77	16
81	228	148
290	291	2
197	236	40
227	261	35
199	205	7
302	302	1
173	289	117
127	127	1
109	226	118
127	228	102
173	173	1
15	69	55
123	126	4
184	205	22
186	186	1
109	110	2
55	59	5
129	212	84
194	267	74
128	289	162
52	233	182
109	118	10
12	259	248
62	76	15
56	57	2
128	131	4
135	135	1
127	288	162
109	173	65
276	302	27
189	259	71
244	246	3
164	283	120
27	267	241
109	184	76
223	224	2
236	265	30
211	260	50
140	143	4
149	180	32
35	46	12
30	267	238
143	163	21
163	289	127
81	296	216
38	275	238
55	269	215
45	294	250
139	294	156
77	280	204
77	297	221
40	300	261
105	237	133
241	260	20
105	112	8
178	279	102
86	283	198
193	285	93
41	129	89
163	300	138
23	111	89
19	216	198
34	111	78
145	180	36
138	173	36
47	47	1
256	285	30
94	100	7
283	283	1
201	201	1
64	122	59
303	303	1
138	292	155
15	30	16
116	119	4
85	85	1
143	262	120
138	138	1
248	248	1
62	160	99
145	263	119
173	190	18
47	294	248
75	299	225
170	261	92
274	275	2
87	129	43
107	299	193
136	193	58
85	173	89
138	293	156
26	28	3
93	239	147
198	303	106
157	158	2
241	242	2
207	221	15
236	248	13
274	278	5
275	276	2
197	208	12
126	170	45
250	250	1
216	234	19
243	243	1
288	288	1
285	288	4
26	263	238
29	29	1
252	255	4
131	146	16
33	46	14
153	240	88
138	178	41
22	32	11
7	80	74
118	215	98
220	222	3
21	49	29
72	276	205
185	187	3
135	141	7
30	236	207
232	235	4
246	246	1
44	110	67
36	295	260
156	252	97
204	207	4
123	170	48
248	248	1
75	109	35
255	276	22
24	36	13
234	297	64
31	67	37
58	67	10
20	67	48
47	156	110
233	254	22
247	274	28
19	58	40
20	22	3
66	161	96
255	301	47
14	29	16
15	163	149
159	172	14
166	172	7
286	287	2
204	289	86
218	297	80
260	286	27
99	161	63
137	144	8
31	249	219
148	154	7
193	208	16
236	299	64
204	204	1
13	71	59
107	245	139
216	222	7
31	38	8
145	237	93
102	221	120
137	265	129
170	171	2
149	153	5
129	129	1
39	218	180
134	135	2
121	224	104
107	186	80
29	182	154
280	281	2
94	213	120
50	215	166
42	164	123
240	297	58
125	278	154
41	278	238
106	250	145
235	286	52
90	90	1
111	157	47
164	278	115
144	294	151
174	259	86
60	210	151
73	99	27
161	268	108
155	158	4
157	177	21
2	3	2
2	30	29
194	221	28
97	173	77
158	173	16
61	61	1
197	236	40
60	281	222
14	24	11
90	113	24
15	52	38
15	61	47
201	265	65
25	30	6
219	256	38
29	52	24
14	75	62
287	287	1
32	292	261
32	110	79
31	213	183
241	241	1
91	279	189
33	64	32
43	249	207
59	237	179
113	174	62
68	275	208
45	258	214
24	217	194
51	237	187
27	139	113
42	279	238
75	148	74
277	279	3
222	222	1
218	303	86
54	233	180
22	26	5
68	284	217
21	242	222
263	274	12
3	229	227
240	241	2
23	24	2
267	267	1
98	189	92
40	279	240
191	279	89
147	193	47
235	251	17
85	92	8
182	182	1
98	99	2
85	99	15
98	270	173
47	128	82
252	252	1
95	279	185
94	187	94
98	101	4
95	240	146
32	139	108
239	278	40
45	279	235
258	258	1
5	273	269
66	240	175
25	181	157
73	205	133
52	87	36
10	178	169
72	275	204
97	276	180
46	278	233
189	223	35
173	244	72
66	276	211
47	279	233
143	143	1
44	137	94
47	276	230
86	99	14
88	229	142
94	103	10
23	25	3
24	24	1
267	267	1
278	278	1
4	20	17
86	90	5
8	267	260
101	296	196
20	172	153
26	34	9
24	259	236
169	251	83
88	139	52
48	291	244
132	153	22
156	157	2
75	97	23
83	110	28
108	114	7
80	81	2
93	208	116
18	161	144
55	146	92
83	269	187
58	114	57
34	34	1
85	114	30
27	43	17
10	13	4
129	131	3
37	85	49
75	112	38
59	276	218
270	292	23
154	261	108
56	284	229
234	263	30
209	226	18
